pick_index,target,local_index,q1,q2,q3,q4,q5,q6
0,carton_front_l2_c0,75,-1.1860830540957938,-1.7763804935164667,-1.5757843815180947,-1.5028497982651734,-1.380260408622481,-2.3329522127510276
0,carton_front_l2_c0,76,-1.2193917971591683,-1.7889624293785138,-1.615566471653934,-1.5059602602935496,-1.4022138105044082,-2.339033592168666
0,carton_front_l2_c0,77,-1.252700540222543,-1.8015443652405612,-1.6553485617897734,-1.5090707223219257,-1.4241672123863354,-2.3451149715863036
0,carton_front_l2_c0,78,-1.2860092832859178,-1.8141263011026083,-1.6951306519256126,-1.5121811843503021,-1.4461206142682625,-2.3511963510039413
0,carton_front_l2_c0,79,-1.319318026349292,-1.8267082369646555,-1.7349127420614519,-1.5152916463786783,-1.4680740161501895,-2.3572777304215795
0,carton_front_l2_c0,80,-1.3526267694126668,-1.8392901728267028,-1.774694832197291,-1.5184021084070547,-1.4900274180321167,-2.3633591098392173
0,carton_front_l2_c0,81,-1.3859355124760415,-1.85187210868875,-1.8144769223331303,-1.5215125704354309,-1.5119808199140439,-2.369440489256855
0,carton_front_l2_c0,82,-1.419244255539416,-1.864454044550797,-1.8542590124689697,-1.5246230324638073,-1.533934221795971,-2.375521868674493
0,carton_front_l2_c0,83,-1.4525529986027905,-1.8770359804128443,-1.8940411026048087,-1.5277334944921834,-1.5558876236778982,-2.381603248092131
0,carton_front_l2_c0,84,-1.4858617416661652,-1.8896179162748916,-1.9338231927406482,-1.5308439565205598,-1.5778410255598254,-2.387684627509769
0,carton_front_l2_c0,85,-1.5191704847295397,-1.9021998521369388,-1.9736052828764874,-1.533954418548936,-1.5997944274417526,-2.393766006927407
0,carton_front_l2_c0,86,-1.5432638492710864,-1.9026790479081972,-1.972885278145575,-1.5502640910938308,-1.5822036748474804,-2.3935938524241474
0,carton_front_l2_c0,87,-1.5673572138126333,-1.9031582436794554,-1.9721652734146626,-1.5665737636387254,-1.5646129222532084,-2.3934216979208873
0,carton_front_l2_c0,88,-1.59145057835418,-1.9036374394507138,-1.9714452686837503,-1.5828834361836202,-1.5470221696589361,-2.3932495434176277
0,carton_front_l2_c0,89,-1.6155439428957266,-1.904116635221972,-1.9707252639528379,-1.599193108728515,-1.5294314170646641,-2.393077388914368
0,carton_front_l2_c0,90,-1.6396373074372732,-1.9045958309932305,-1.9700052592219255,-1.6155027812734097,-1.511840664470392,-2.3929052344111086
0,carton_front_l2_c0,91,-1.66373067197882,-1.9050750267644887,-1.969285254491013,-1.6318124538183043,-1.4942499118761199,-2.3927330799078486
0,carton_front_l2_c0,92,-1.6878240365203667,-1.9055542225357471,-1.9685652497601007,-1.648122126363199,-1.4766591592818477,-2.392560925404589
0,carton_front_l2_c0,93,-1.6515593726534838,-1.9005763095636556,-1.9665338901481404,-1.623190217674591,-1.4969445639234475,-2.39051622943588
0,carton_front_l2_c0,94,-1.6187715784118626,-1.899947848136351,-1.969879603379701,-1.601657423723334,-1.5228670925772232,-2.391456625043197
0,carton_front_l2_c0,95,-1.5857753925370202,-1.8999867107600663,-1.9722995118645024,-1.579695508900633,-1.54870587944976,-2.392200123529829
0,carton_front_l2_c0,96,-1.5526924617991555,-1.9006816590701954,-1.973691085477786,-1.5575665171928728,-1.5745053046559385,-2.3927758412705553
0,carton_front_l2_c0,97,-1.5195984340835755,-1.9020291578152175,-1.9740549899128665,-1.5353262638825687,-1.6002259108913877,-2.393189532638277
0,carton_front_l2_c0,98,-1.5056104081882373,-1.8889161757196529,-1.9533105930680847,-1.5005296048033645,-1.5934213081529314,-2.414283245686396
0,carton_front_l2_c0,99,-1.4916223822928993,-1.875803193624088,-1.9325661962233027,-1.4657329457241601,-1.586616705414475,-2.4353769587345147
